model,car_class,car_type,body,capacity,manufacturer,price
Everon,Off-Road,Civilian vehicle,4-door offroad truck,4 (driver and 3 passengers),Karin,"$1,475,000"
Freecrawler,Off-Road,Civilian vehicle,4-door SUV,4 (driver and three passengers),Canis,"$597,000"
Hot Rod Blazer,Off-Road,Custom vehicle,Quad bike,1 (rider),Nagasaki,"$69,000"
Kalahari,Off-Road,Civilian car,2-door utility truck,2 (driver and passenger),Canis,"$40,000"
Kamacho,Off-Road,Civilian car,4-door utility truck,4 (driver and three passengers),Canis,"$345,000"
Nightshark,Off-Road,Civilian vehicle,Armored 4-door SUV,4 (driver and three passengers),HVY,"$1,245,000"
Marshall,Off-Road,Civilian off-road vehicle,Monster truck,2 (driver and passenger),Cheval,"$250,000"
Outlaw,Off-Road,Civilian vehicle,2-door UTV,2 (driver and passenger),Nagasaki,"$1,268,000"
Ramp Buggy,Off-Road,Civilian car,Custom built ramp car,2 (driver and passenger),BF,"$3,192,000"
Rancher XL,Off-Road,Civilian car,4-door SUV,4 (driver and three passenger),Declasse,"$9,000"
Rebel,Off-Road,Civilian truck,2-door pickup truck,2 (driver and passenger),Karin,"$22,000"
Rusty Rebel,Off-Road,Civilian truck,2-door pickup truck,2 (driver and passenger),Karin,"$3,000"
Sandking XL,Off-Road,Civilian car,4-door pickup truck,4 (driver and three passengers),Vapid,"$45,000"
Sandking SWB,Off-Road,Civilian car,2-door pickup truck,2 (driver and passenger),Vapid,"$38,000"
Apocalypse Sasquatch,Off-Road,Civilian vehicle,2-door monster truck,2 (driver and passenger),Bravado,"$1,530,875"
Future Shock Sasquatch,Off-Road,Civilian car,2-door monster truck,2 (driver and passenger),Bravado,"$1,530,875"
Nightmare Sasquatch,Off-Road,Civilian car,2-door monster truck,2 (driver and passenger),Bravado,"$1,530,875"
Street Blazer,Off-Road,Civilian vehicle,Quad bike,1 (rider),Nagasaki,"$81,000"
Technical Aqua,Off-Road,Civilian truck,Custom amphibious pick-up truck,"3 (driver, passenger and gunner)",Karin,"$1,489,600"
Technical Custom,Off-Road,Civilian truck,2-door armed pickup truck,"3 (driver, passenger and gunner)",Karin,"$142,500"
Trophy Truck,Off-Road,Civilian vehicle,Trophy truck,2 (driver and passenger),Vapid,"$550,000"
Liberator,Off-Road,Events/custom vehicle,All-wheel steer monster truck,2 (driver and passenger),Vapid,"$742,014"
Vagrant,Off-Road,Civilian car,Off-road buggy,2 (driver and passenger),Maxwell,"$2,214,000"
Verus,Off-Road,Military ATV,Quad bike,2 (driver and passenger),Dinka,"$192,000"
Yosemite Rancher,Off-Road,Civilian vehicle,2-door Pickup truck,2 (driver and passenger),Declasse,"$700,000"
Zhaba,Off-Road,Civilian vehicle,All-terrain vehicle,"4 (Driver, front passenger, 2 rear passengers)",RUNE,"$2,400,000"
Apocalypse Cerberus,Commercial,Industial vehicle,Custom truck,2 (driver and passenger),MTL,"$3,870,300"
Future Shock Cerberus,Commercial,Industrial vehicle,Custom truck,2 (driver and passenger),MTL,"$3,870,300"
Nightmare Cerberus,Commercial,Industrial vehicle,Custom truck,2 (driver and passenger),MTL,"$3,870,300"
Hauler Custom,Commercial,Custom truck,Armored cab-over semi-truck,2 (driver and passenger),Jobuilt,"$1,400,000"
Mule Custom,Commercial,Industrial/Commercial vehicle,2-door box truck,"4 (driver, passenger and 2 passengers on side)",Maibatsu,"$95,760"
Phantom Custom,Commercial,Custom truck,Armored semi-truck,"5 (driver, cab passenger and three external passengers)",JoBuilt,"$1,225,000"
Phantom Wedge,Commercial,Civilian truck,Custom semi-truck,"5 (driver, cab passenger and three external passengers)",Jobuilt,"$2,553,600"
Pounder Custom,Commercial,Industrial/Commercial vehicle,Armored box truck,"8 (driver and passenger, and 4 hanging on sides)",MTL,"$320,530"
Dump,Industrial,Industrial vehicle,Off-road dump truck,1 (driver),HVY,"$1,000,000"
Guardian,Industrial,Civilian truck,4-door pickup truck,6 (driver and five passengers),Vapid,"$375,000"
Bison,Vans,Civilian vehicle,Double-cab pickup truck,"6 (driver, three passengers and two truck bed passengers)",Bravado,"$30,000"
Bobcat XL,Vans,Civilian car,2-door pickup truck,2 (driver and passenger),Vapid,"$23,000"
Armored Boxville,Vans,Civilian vehicle,Custom armored van,"5 (driver, gunner and three passengers)",Brute,"$2,926,000"
Minivan Custom,Vans,Civilian car,4-door minivan,4 (driver and three passengers),Vapid,"$330,000"
Paradise,Vans,Civilian van,Full size van,4 (driver and three passengers),Bravado,"$25,000"
Rumpo Custom,Vans,Civilian vehicle,Passenger van,4 (driver and three passengers),Bravado,"$130,000"
Surfer,Vans,Civilian van,4-door van,2 (driver and passenger),BF,"$11,000"
Youga,Vans,Civilian van,Full size van,2 (driver and passenger),Bravado,"$16,000"
Youga Classic,Vans,Civilian van,Full size van,4 (driver and three passengers),Bravado,"$195,000"
Youga Classic 4x4,Vans,Civilian vehicle,4-door custom van,4 (driver and three passengers),Bravado,"$1,288,000"
Slamtruck,Utility,Civillian car,2-door car hauler,2 (driver and passenger),Vapid,"$1,310,000"
